;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Зенит;0;0.153846154;0.230769231;0.1;0.058823529;0.088235294;0.15;0.102564103;0.078947368;0.136363636;0.076923077;0.071428571;0.103448276;0.113207547;0.047619048;0.096774194
Локомотив М;0.045454545;0;0.115384615;0.133333333;0.029411765;0.088235294;0.075;0.153846154;0.157894737;0.022727273;0.102564103;0.095238095;0.068965517;0.075471698;0.095238095;0.096774194
Краснодар;0;0.115384615;0;0.2;0.029411765;0.176470588;0.05;0.025641026;0.052631579;0.136363636;0.076923077;0.095238095;0.103448276;0.075471698;0.095238095;0.096774194
ЦСКА;0.136363636;0.038461538;0;0;0.117647059;0.088235294;0.075;0.153846154;0.026315789;0.136363636;0.102564103;0.047619048;0.068965517;0.075471698;0.095238095;0.064516129
Спартак М;0.090909091;0.153846154;0.153846154;0.033333333;0;0;0.075;0.076923077;0;0.068181818;0.051282051;0.142857143;0.103448276;0.056603774;0.095238095;0.096774194
Арсенал;0.136363636;0.115384615;0;0.1;0.176470588;0;0.05;0.076923077;0.026315789;0.022727273;0.051282051;0.047619048;0.103448276;0.075471698;0.095238095;0.064516129
Оренбург;0;0.115384615;0.076923077;0.1;0.088235294;0.058823529;0;0.025641026;0.157894737;0.022727273;0.076923077;0.071428571;0.103448276;0.113207547;0.047619048;0.016129032
Ахмат;0.045454545;0;0.153846154;0;0.088235294;0.088235294;0.1;0;0.078947368;0.022727273;0.025641026;0.047619048;0.103448276;0.113207547;0.063492063;0.064516129
Ростов;0.136363636;0;0.076923077;0.133333333;0.176470588;0.117647059;0;0.076923077;0;0.090909091;0.102564103;0.047619048;0;0.018867925;0.063492063;0.064516129
Урал;0;0.153846154;0;0;0.088235294;0.117647059;0.1;0.102564103;0.026315789;0;0.076923077;0.023809524;0.068965517;0.018867925;0.047619048;0.096774194
Рубин;0.136363636;0.038461538;0.115384615;0.033333333;0.058823529;0.058823529;0.075;0.102564103;0.026315789;0.068181818;0;0.047619048;0.051724138;0.037735849;0.031746032;0.064516129
Динамо М;0.136363636;0.038461538;0.038461538;0.066666667;0;0.058823529;0.075;0.051282051;0.052631579;0.090909091;0.051282051;0;0.051724138;0.113207547;0.015873016;0.016129032
Кр. Советов;0;0.038461538;0;0.033333333;0;0;0;0;0.157894737;0.022727273;0.076923077;0.071428571;0;0.075471698;0.095238095;0.048387097
Уфа;0;0.038461538;0.038461538;0.033333333;0.088235294;0.029411765;0;0;0.105263158;0.090909091;0.051282051;0;0.017241379;0;0.063492063;0.064516129
Анжи;0.136363636;0;0;0;0;0;0.075;0.025641026;0.026315789;0.068181818;0.051282051;0.095238095;0;0.018867925;0;0.048387097
Енисей;0;0;0;0.033333333;0;0.029411765;0.1;0.025641026;0.026315789;0;0.025641026;0.095238095;0.051724138;0.018867925;0.047619048;0
